timestamp_utc,records_lag_max,rabbitmq_total_messages
2026-07-21T00:31:49.063188+00:00,324,0
2026-07-21T00:31:50.638502+00:00,358,0
2026-07-21T00:31:52.195894+00:00,512,0
2026-07-21T00:31:53.805183+00:00,701,0
2026-07-21T00:31:55.348640+00:00,275,0
2026-07-21T00:31:56.894497+00:00,229,47
2026-07-21T00:31:58.439460+00:00,175,47
2026-07-21T00:32:00.038610+00:00,62,47
2026-07-21T00:32:01.600658+00:00,176,0
2026-07-21T00:32:03.157353+00:00,133,0
2026-07-21T00:32:04.726193+00:00,446,0
2026-07-21T00:32:06.337285+00:00,760,0
2026-07-21T00:32:07.928402+00:00,531,0
2026-07-21T00:32:09.472407+00:00,350,0
2026-07-21T00:32:11.065105+00:00,383,0
2026-07-21T00:32:12.631676+00:00,340,0
2026-07-21T00:32:14.195126+00:00,311,0
2026-07-21T00:32:15.752555+00:00,349,0
2026-07-21T00:32:17.314525+00:00,402,0
2026-07-21T00:32:18.896307+00:00,401,2
2026-07-21T00:32:20.449289+00:00,110,2
2026-07-21T00:32:21.989903+00:00,340,2
2026-07-21T00:32:23.563137+00:00,309,3
2026-07-21T00:32:25.100805+00:00,332,3
2026-07-21T00:32:26.655898+00:00,287,3
2026-07-21T00:32:28.216863+00:00,92,0
2026-07-21T00:32:29.803560+00:00,312,0
2026-07-21T00:32:31.376223+00:00,219,0
2026-07-21T00:32:32.919448+00:00,248,2
2026-07-21T00:32:34.465606+00:00,212,2
2026-07-21T00:32:36.014374+00:00,433,2
2026-07-21T00:32:37.586503+00:00,302,0
2026-07-21T00:32:39.160033+00:00,334,0
2026-07-21T00:32:40.722496+00:00,308,0
2026-07-21T00:32:42.286406+00:00,294,5
2026-07-21T00:32:43.880249+00:00,390,5
2026-07-21T00:32:45.442532+00:00,373,5
