timestamp_utc,records_lag_max,rabbitmq_total_messages
2026-07-21T00:23:57.007366+00:00,4,0
2026-07-21T00:23:58.585205+00:00,88,0
2026-07-21T00:24:00.136852+00:00,126,0
2026-07-21T00:24:01.687258+00:00,238,0
2026-07-21T00:24:03.226648+00:00,19,0
2026-07-21T00:24:04.788128+00:00,235,0
2026-07-21T00:24:06.358652+00:00,32,0
2026-07-21T00:24:07.898129+00:00,115,0
2026-07-21T00:24:09.437942+00:00,8,0
2026-07-21T00:24:10.996613+00:00,306,0
2026-07-21T00:24:12.556992+00:00,16,0
2026-07-21T00:24:14.099860+00:00,9,0
2026-07-21T00:24:15.652219+00:00,66,0
2026-07-21T00:24:17.201615+00:00,144,0
2026-07-21T00:24:18.751661+00:00,8,0
2026-07-21T00:24:20.307110+00:00,4,0
2026-07-21T00:24:21.861875+00:00,156,0
2026-07-21T00:24:23.408490+00:00,188,0
2026-07-21T00:24:24.959975+00:00,153,0
2026-07-21T00:24:26.502436+00:00,8,0
2026-07-21T00:24:28.040171+00:00,98,0
2026-07-21T00:24:29.581788+00:00,5,0
2026-07-21T00:24:31.175285+00:00,96,0
2026-07-21T00:24:32.719150+00:00,156,0
2026-07-21T00:24:34.254074+00:00,9,0
2026-07-21T00:24:35.794284+00:00,4,0
2026-07-21T00:24:37.383345+00:00,7,0
2026-07-21T00:24:38.997882+00:00,19,0
2026-07-21T00:24:40.550678+00:00,50,0
2026-07-21T00:24:42.091214+00:00,5,0
2026-07-21T00:24:43.631528+00:00,12,0
2026-07-21T00:24:45.172689+00:00,12,0
2026-07-21T00:24:46.759744+00:00,35,0
2026-07-21T00:24:48.353960+00:00,26,0
2026-07-21T00:24:49.903980+00:00,8,0
2026-07-21T00:24:51.449131+00:00,58,0
2026-07-21T00:24:52.992791+00:00,21,0
2026-07-21T00:24:54.529433+00:00,102,0
2026-07-21T00:24:56.073204+00:00,9,0
2026-07-21T00:24:57.638754+00:00,161,0
2026-07-21T00:24:59.185933+00:00,12,0
2026-07-21T00:25:00.738773+00:00,61,0
2026-07-21T00:25:02.340673+00:00,157,0
2026-07-21T00:25:03.887318+00:00,5,0
2026-07-21T00:25:05.432662+00:00,160,0
2026-07-21T00:25:06.980857+00:00,105,0
2026-07-21T00:25:08.516995+00:00,2,0
2026-07-21T00:25:10.107517+00:00,4,0
2026-07-21T00:25:11.648862+00:00,7,0
2026-07-21T00:25:13.185756+00:00,62,0
2026-07-21T00:25:14.732704+00:00,2,0
2026-07-21T00:25:16.271874+00:00,11,0
2026-07-21T00:25:17.807742+00:00,6,0
2026-07-21T00:25:19.348404+00:00,129,0
2026-07-21T00:25:20.911952+00:00,9,0
2026-07-21T00:25:22.453343+00:00,3,0
2026-07-21T00:25:24.027269+00:00,7,0
2026-07-21T00:25:25.565136+00:00,19,0
2026-07-21T00:25:27.115328+00:00,47,0
2026-07-21T00:25:28.659928+00:00,203,0
2026-07-21T00:25:30.202027+00:00,98,0
2026-07-21T00:25:31.757255+00:00,32,0
2026-07-21T00:25:33.302604+00:00,55,0
2026-07-21T00:25:34.848685+00:00,12,0
2026-07-21T00:25:36.404936+00:00,29,0
2026-07-21T00:25:37.961803+00:00,8,0
2026-07-21T00:25:39.505438+00:00,20,0
2026-07-21T00:25:41.044066+00:00,21,0
2026-07-21T00:25:42.608188+00:00,344,0
2026-07-21T00:25:44.153865+00:00,29,0
2026-07-21T00:25:45.718237+00:00,6,0
2026-07-21T00:25:47.262685+00:00,11,0
2026-07-21T00:25:48.806463+00:00,35,0
2026-07-21T00:25:50.343910+00:00,11,0
2026-07-21T00:25:51.894847+00:00,141,0
2026-07-21T00:25:53.482706+00:00,433,0
2026-07-21T00:25:55.062461+00:00,236,0
2026-07-21T00:25:56.612757+00:00,38,0
2026-07-21T00:25:58.159612+00:00,18,1
2026-07-21T00:25:59.713959+00:00,80,1
2026-07-21T00:26:01.255333+00:00,54,1
2026-07-21T00:26:02.794003+00:00,28,1
2026-07-21T00:26:04.345951+00:00,24,1
2026-07-21T00:26:05.887356+00:00,11,1
2026-07-21T00:26:07.426080+00:00,8,4
2026-07-21T00:26:08.971588+00:00,23,4
2026-07-21T00:26:10.510059+00:00,4,4
2026-07-21T00:26:12.059351+00:00,7,1
2026-07-21T00:26:13.606965+00:00,7,1
2026-07-21T00:26:15.155836+00:00,13,1
2026-07-21T00:26:16.703592+00:00,31,1
2026-07-21T00:26:18.261911+00:00,15,1
2026-07-21T00:26:19.818293+00:00,97,1
2026-07-21T00:26:21.369108+00:00,4,1
2026-07-21T00:26:22.918840+00:00,9,1
2026-07-21T00:26:24.470329+00:00,128,1
2026-07-21T00:26:26.029102+00:00,4,0
2026-07-21T00:26:27.564906+00:00,16,0
2026-07-21T00:26:29.110997+00:00,28,0
2026-07-21T00:26:30.662788+00:00,157,0
2026-07-21T00:26:32.208810+00:00,9,0
2026-07-21T00:26:33.801027+00:00,171,0
2026-07-21T00:26:35.349655+00:00,2,0
2026-07-21T00:26:36.895401+00:00,70,0
2026-07-21T00:26:38.441127+00:00,174,0
2026-07-21T00:26:39.989516+00:00,5,0
2026-07-21T00:26:41.535120+00:00,6,0
2026-07-21T00:26:43.076608+00:00,7,0
2026-07-21T00:26:44.654335+00:00,194,1
2026-07-21T00:26:46.234207+00:00,7,1
2026-07-21T00:26:47.802035+00:00,12,1
2026-07-21T00:26:49.341607+00:00,13,0
2026-07-21T00:26:50.890487+00:00,14,0
2026-07-21T00:26:52.446155+00:00,7,0
2026-07-21T00:26:53.991175+00:00,180,0
2026-07-21T00:26:55.543439+00:00,3,0
2026-07-21T00:26:57.134115+00:00,205,0
2026-07-21T00:26:58.724568+00:00,2,0
2026-07-21T00:27:00.265151+00:00,3,0
2026-07-21T00:27:01.808743+00:00,8,0
2026-07-21T00:27:03.373361+00:00,14,0
2026-07-21T00:27:04.928873+00:00,229,0
2026-07-21T00:27:06.467112+00:00,5,0
2026-07-21T00:27:08.025949+00:00,243,0
2026-07-21T00:27:09.571114+00:00,124,0
2026-07-21T00:27:11.123037+00:00,48,0
2026-07-21T00:27:12.653875+00:00,7,0
2026-07-21T00:27:14.208256+00:00,13,0
2026-07-21T00:27:15.745719+00:00,3,0
2026-07-21T00:27:17.286919+00:00,100,0
2026-07-21T00:27:18.827193+00:00,5,0
2026-07-21T00:27:20.359722+00:00,5,0
2026-07-21T00:27:21.945366+00:00,201,0
2026-07-21T00:27:23.483695+00:00,33,0
2026-07-21T00:27:25.028383+00:00,138,0
2026-07-21T00:27:26.564227+00:00,3,0
2026-07-21T00:27:28.122367+00:00,7,0
2026-07-21T00:27:29.682423+00:00,27,0
2026-07-21T00:27:31.318545+00:00,12,0
2026-07-21T00:27:32.850977+00:00,5,0
2026-07-21T00:27:34.396765+00:00,4,0
2026-07-21T00:27:35.934127+00:00,103,0
2026-07-21T00:27:37.480182+00:00,6,0
2026-07-21T00:27:39.023797+00:00,33,0
2026-07-21T00:27:40.562730+00:00,6,0
2026-07-21T00:27:42.105584+00:00,22,0
2026-07-21T00:27:43.655926+00:00,3,0
2026-07-21T00:27:45.226210+00:00,4,0
2026-07-21T00:27:46.778105+00:00,10,0
2026-07-21T00:27:48.318058+00:00,132,0
2026-07-21T00:27:49.858411+00:00,58,0
2026-07-21T00:27:51.399288+00:00,6,0
2026-07-21T00:27:52.935374+00:00,11,0
2026-07-21T00:27:54.481695+00:00,8,0
2026-07-21T00:27:56.025043+00:00,8,0
2026-07-21T00:27:57.577441+00:00,7,0
2026-07-21T00:27:59.120743+00:00,10,0
2026-07-21T00:28:00.676889+00:00,7,0
2026-07-21T00:28:02.221987+00:00,99,0
2026-07-21T00:28:03.810474+00:00,97,0
2026-07-21T00:28:05.349069+00:00,49,0
2026-07-21T00:28:06.886503+00:00,10,0
2026-07-21T00:28:08.470249+00:00,16,0
2026-07-21T00:28:10.010544+00:00,3,0
2026-07-21T00:28:11.551009+00:00,11,0
2026-07-21T00:28:13.082058+00:00,10,0
2026-07-21T00:28:14.618582+00:00,7,0
2026-07-21T00:28:16.165387+00:00,112,0
2026-07-21T00:28:17.697668+00:00,8,0
2026-07-21T00:28:19.243222+00:00,4,0
2026-07-21T00:28:20.782826+00:00,3,0
2026-07-21T00:28:22.331936+00:00,1,0
2026-07-21T00:28:23.878356+00:00,3,0
2026-07-21T00:28:25.435786+00:00,36,0
2026-07-21T00:28:26.978301+00:00,9,0
2026-07-21T00:28:28.531151+00:00,6,0
2026-07-21T00:28:30.081891+00:00,8,0
2026-07-21T00:28:31.631334+00:00,203,0
2026-07-21T00:28:33.171820+00:00,6,0
2026-07-21T00:28:34.707955+00:00,26,0
2026-07-21T00:28:36.255510+00:00,5,0
2026-07-21T00:28:37.817615+00:00,6,0
2026-07-21T00:28:39.358852+00:00,10,0
2026-07-21T00:28:40.903550+00:00,41,0
2026-07-21T00:28:42.455519+00:00,2,0
2026-07-21T00:28:43.990964+00:00,7,0
2026-07-21T00:28:45.564292+00:00,3,0
2026-07-21T00:28:47.119559+00:00,22,0
2026-07-21T00:28:48.666365+00:00,5,0
2026-07-21T00:28:50.226574+00:00,6,0
2026-07-21T00:28:51.772496+00:00,1,0
2026-07-21T00:28:53.345968+00:00,3,0
2026-07-21T00:28:54.882460+00:00,0,0
2026-07-21T00:28:56.422240+00:00,9,0
2026-07-21T00:28:57.978135+00:00,2,0
2026-07-21T00:28:59.521416+00:00,2,0
2026-07-21T00:29:01.059277+00:00,7,0
2026-07-21T00:29:02.609592+00:00,1,0
2026-07-21T00:29:04.150745+00:00,123,0
2026-07-21T00:29:05.698035+00:00,46,0
2026-07-21T00:29:07.254121+00:00,6,0
2026-07-21T00:29:08.793048+00:00,10,0
2026-07-21T00:29:10.391675+00:00,393,0
2026-07-21T00:29:11.936804+00:00,3,0
2026-07-21T00:29:13.523320+00:00,33,0
2026-07-21T00:29:15.071806+00:00,173,0
2026-07-21T00:29:16.607909+00:00,12,0
2026-07-21T00:29:18.154697+00:00,124,0
2026-07-21T00:29:19.692672+00:00,70,0
2026-07-21T00:29:21.232827+00:00,23,0
2026-07-21T00:29:22.784501+00:00,67,0
2026-07-21T00:29:24.363250+00:00,5,0
2026-07-21T00:29:25.905815+00:00,14,0
2026-07-21T00:29:27.443770+00:00,80,0
2026-07-21T00:29:28.985669+00:00,14,0
2026-07-21T00:29:30.526440+00:00,84,0
2026-07-21T00:29:32.071917+00:00,127,0
2026-07-21T00:29:33.617358+00:00,145,0
2026-07-21T00:29:35.174519+00:00,140,0
2026-07-21T00:29:36.716891+00:00,55,0
2026-07-21T00:29:38.257944+00:00,5,0
2026-07-21T00:29:39.830752+00:00,30,0
2026-07-21T00:29:41.378871+00:00,12,0
2026-07-21T00:29:42.931864+00:00,169,0
2026-07-21T00:29:44.477884+00:00,4,0
2026-07-21T00:29:46.042339+00:00,152,0
2026-07-21T00:29:47.576548+00:00,4,0
2026-07-21T00:29:49.117898+00:00,84,0
2026-07-21T00:29:50.707901+00:00,899,1
2026-07-21T00:29:52.248598+00:00,8,1
2026-07-21T00:29:53.788877+00:00,6,1
2026-07-21T00:29:55.381383+00:00,189,32
2026-07-21T00:29:56.945019+00:00,6,32
2026-07-21T00:29:58.483711+00:00,0,32
2026-07-21T00:30:00.024382+00:00,191,0
2026-07-21T00:30:01.569387+00:00,116,0
2026-07-21T00:30:03.105460+00:00,221,0
