timestamp_utc,records_lag_max,rabbitmq_total_messages
2026-07-23T20:26:47.223158+00:00,270,
2026-07-23T20:26:48.744144+00:00,87,
2026-07-23T20:26:50.278358+00:00,84,
2026-07-23T20:26:51.813013+00:00,5,
2026-07-23T20:26:53.339970+00:00,73,
2026-07-23T20:26:54.861082+00:00,20,
2026-07-23T20:26:56.401395+00:00,150,
2026-07-23T20:26:57.942739+00:00,185,
2026-07-23T20:26:59.476581+00:00,28,
2026-07-23T20:27:01.006571+00:00,217,
2026-07-23T20:27:02.575858+00:00,5,
2026-07-23T20:27:04.104078+00:00,2,
2026-07-23T20:27:05.630480+00:00,39,
2026-07-23T20:27:07.157596+00:00,2,
2026-07-23T20:27:08.681763+00:00,8,
2026-07-23T20:27:10.241958+00:00,74,
2026-07-23T20:27:11.772426+00:00,13,
2026-07-23T20:27:13.306697+00:00,6,
2026-07-23T20:27:14.832654+00:00,6,
2026-07-23T20:27:16.362383+00:00,2,
2026-07-23T20:27:17.883836+00:00,15,
2026-07-23T20:27:19.417374+00:00,14,
2026-07-23T20:27:20.940251+00:00,1,
2026-07-23T20:27:22.468759+00:00,3,
2026-07-23T20:27:24.001078+00:00,13,
2026-07-23T20:27:25.531017+00:00,3,
2026-07-23T20:27:27.057482+00:00,22,
2026-07-23T20:27:28.584139+00:00,39,
2026-07-23T20:27:30.108869+00:00,0,
2026-07-23T20:27:31.637159+00:00,5,
2026-07-23T20:27:33.160513+00:00,6,
2026-07-23T20:27:34.686641+00:00,1,
2026-07-23T20:27:36.219296+00:00,5,
2026-07-23T20:27:37.771324+00:00,7,
2026-07-23T20:27:39.306137+00:00,5,
2026-07-23T20:27:40.866449+00:00,8,
2026-07-23T20:27:42.397095+00:00,32,
2026-07-23T20:27:43.920438+00:00,44,
2026-07-23T20:27:45.454512+00:00,15,
2026-07-23T20:27:46.989944+00:00,13,
2026-07-23T20:27:48.520669+00:00,4,
2026-07-23T20:27:50.045489+00:00,4,
2026-07-23T20:27:51.571411+00:00,2,
2026-07-23T20:27:53.101650+00:00,86,
2026-07-23T20:27:54.679773+00:00,34,
2026-07-23T20:27:56.211258+00:00,50,
2026-07-23T20:27:57.748216+00:00,60,
2026-07-23T20:27:59.284390+00:00,50,
2026-07-23T20:28:00.811918+00:00,31,
2026-07-23T20:28:02.339200+00:00,3,
2026-07-23T20:28:03.866921+00:00,84,
2026-07-23T20:28:05.394855+00:00,4,
2026-07-23T20:28:06.923563+00:00,1,
2026-07-23T20:28:08.449891+00:00,49,
2026-07-23T20:28:09.972623+00:00,4,
2026-07-23T20:28:11.497504+00:00,5,
2026-07-23T20:28:13.025347+00:00,56,
2026-07-23T20:28:14.587071+00:00,34,
2026-07-23T20:28:16.125313+00:00,19,
2026-07-23T20:28:17.685722+00:00,17,
2026-07-23T20:28:19.224325+00:00,2,
2026-07-23T20:28:20.748898+00:00,5,
2026-07-23T20:28:22.300927+00:00,4,
2026-07-23T20:28:23.826623+00:00,83,
2026-07-23T20:28:25.352494+00:00,16,
2026-07-23T20:28:24.725691+00:00,8,
2026-07-23T20:28:26.248240+00:00,5,
2026-07-23T20:28:27.775250+00:00,3,
2026-07-23T20:28:29.308722+00:00,10,
2026-07-23T20:28:30.841353+00:00,36,
2026-07-23T20:28:32.376906+00:00,24,
2026-07-23T20:28:33.900086+00:00,6,
2026-07-23T20:28:35.423696+00:00,5,
2026-07-23T20:28:36.954967+00:00,5,
2026-07-23T20:28:38.481909+00:00,14,
2026-07-23T20:28:40.016408+00:00,5,
2026-07-23T20:28:41.547962+00:00,27,
2026-07-23T20:28:43.074038+00:00,247,
2026-07-23T20:28:44.631261+00:00,47,
2026-07-23T20:28:46.158507+00:00,6,
2026-07-23T20:28:47.693430+00:00,16,
2026-07-23T20:28:49.222969+00:00,125,
2026-07-23T20:28:50.748980+00:00,3,
2026-07-23T20:28:52.286244+00:00,26,
2026-07-23T20:28:53.807100+00:00,14,
2026-07-23T20:28:55.336302+00:00,9,
2026-07-23T20:28:56.861895+00:00,7,
2026-07-23T20:28:58.400262+00:00,27,
2026-07-23T20:28:59.943714+00:00,400,
2026-07-23T20:29:01.479231+00:00,7,
2026-07-23T20:29:03.005829+00:00,44,
2026-07-23T20:29:04.531030+00:00,25,
2026-07-23T20:29:06.058848+00:00,2,
2026-07-23T20:29:07.586114+00:00,5,
2026-07-23T20:29:09.115252+00:00,33,
2026-07-23T20:29:10.646936+00:00,2,
2026-07-23T20:29:12.183314+00:00,1,
2026-07-23T20:29:13.717979+00:00,30,
2026-07-23T20:29:15.252301+00:00,11,
2026-07-23T20:29:16.804524+00:00,4,
2026-07-23T20:29:18.336854+00:00,44,
2026-07-23T20:29:19.868391+00:00,25,
2026-07-23T20:29:21.403737+00:00,1,
2026-07-23T20:29:22.935218+00:00,0,
2026-07-23T20:29:24.494602+00:00,0,
2026-07-23T20:29:26.021505+00:00,4,
2026-07-23T20:29:27.551480+00:00,1,
2026-07-23T20:29:29.072031+00:00,54,
2026-07-23T20:29:30.606061+00:00,1,
2026-07-23T20:29:32.133276+00:00,4,
2026-07-23T20:29:33.665724+00:00,80,
2026-07-23T20:29:35.199388+00:00,1,
2026-07-23T20:29:36.768339+00:00,5,
2026-07-23T20:29:38.294886+00:00,3,
2026-07-23T20:29:39.823600+00:00,50,
2026-07-23T20:29:41.353237+00:00,5,
2026-07-23T20:29:42.888183+00:00,1,
2026-07-23T20:29:44.413876+00:00,2,
2026-07-23T20:29:45.937202+00:00,4,
2026-07-23T20:29:47.464405+00:00,1,
2026-07-23T20:29:48.992088+00:00,1,
2026-07-23T20:29:50.519328+00:00,10,
2026-07-23T20:29:52.059827+00:00,0,
2026-07-23T20:29:53.583440+00:00,2,
2026-07-23T20:29:55.110135+00:00,5,
2026-07-23T20:29:56.642404+00:00,48,
2026-07-23T20:29:58.186192+00:00,11,
2026-07-23T20:29:59.724451+00:00,15,
2026-07-23T20:30:01.261133+00:00,15,
2026-07-23T20:30:02.786938+00:00,4,
