timestamp_utc,records_lag_max,rabbitmq_total_messages
2026-07-23T21:26:14.985271+00:00,258,
2026-07-23T21:26:16.512940+00:00,53,
2026-07-23T21:26:18.053223+00:00,471,
2026-07-23T21:26:19.590474+00:00,12,
2026-07-23T21:26:21.122959+00:00,6,
2026-07-23T21:26:22.658025+00:00,62,
2026-07-23T21:26:24.184174+00:00,18,
2026-07-23T21:26:25.721295+00:00,26,
2026-07-23T21:26:27.244869+00:00,87,
2026-07-23T21:26:28.776563+00:00,20,
2026-07-23T21:26:30.318277+00:00,64,
2026-07-23T21:26:31.847612+00:00,1197,
2026-07-23T21:26:33.381442+00:00,144,
2026-07-23T21:26:34.921905+00:00,177,
2026-07-23T21:26:36.457141+00:00,44,
2026-07-23T21:26:37.993816+00:00,122,
2026-07-23T21:26:39.520824+00:00,83,
2026-07-23T21:26:41.054046+00:00,140,
2026-07-23T21:26:42.588765+00:00,34,
2026-07-23T21:26:44.149738+00:00,126,
2026-07-23T21:26:45.687257+00:00,160,
2026-07-23T21:26:47.263227+00:00,186,
2026-07-23T21:26:48.800687+00:00,92,
2026-07-23T21:26:50.342316+00:00,239,
2026-07-23T21:26:51.886463+00:00,73,
2026-07-23T21:26:53.416289+00:00,167,
2026-07-23T21:26:54.942496+00:00,101,
2026-07-23T21:26:56.479384+00:00,942,
2026-07-23T21:26:58.017095+00:00,623,
2026-07-23T21:26:59.549931+00:00,132,
2026-07-23T21:27:01.088884+00:00,240,
2026-07-23T21:27:02.622849+00:00,186,
2026-07-23T21:27:04.157214+00:00,185,
2026-07-23T21:27:05.687478+00:00,0,
2026-07-23T21:27:07.224590+00:00,167,
2026-07-23T21:27:08.755957+00:00,29,
2026-07-23T21:27:10.280776+00:00,21,
2026-07-23T21:27:11.804659+00:00,34,
2026-07-23T21:27:13.374591+00:00,150,
2026-07-23T21:27:14.896335+00:00,157,
2026-07-23T21:27:16.420224+00:00,179,
2026-07-23T21:27:17.945672+00:00,155,
2026-07-23T21:27:19.467877+00:00,145,
2026-07-23T21:27:21.000049+00:00,76,
2026-07-23T21:27:22.549273+00:00,256,
2026-07-23T21:27:24.127069+00:00,63,
2026-07-23T21:27:25.658333+00:00,40,
2026-07-23T21:27:27.195250+00:00,8,
2026-07-23T21:27:28.745348+00:00,28,
2026-07-23T21:27:30.283481+00:00,87,
2026-07-23T21:27:31.819910+00:00,909,
